Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-26,2016,3,26,†,8.0,,-6.5,,0.8,,17.2,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-27,2016,3,27,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-28,2016,3,28,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-29,2016,3,29,†,7.5,,-1.5,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-30,2016,3,30,†,12.5,,-4.5,,4.0,,14.0,,0.0,,9.0,,0.0,,9.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-31,2016,3,31,†,14.5,,5.0,,9.8,,8.2,,0.0,,14.2,,0.0,,14.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-01,2016,4,1,†,9.5,,6.5,,8.0,,10.0,,0.0,,0.0,,0.0,T,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-02,2016,4,2,†,4.5,,-1.5,,1.5,,16.5,,0.0,,0.0,,0.4,,0.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-03,2016,4,3,†,-1.5,,-8.0,,-4.8,,22.8,,0.0,,0.0,,10.6,,10.8,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-04,2016,4,4,†,-1.0,,-7.0,,-4.0,,22.0,,0.0,,0.0,,0.0,T,0.0,,11.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-05,2016,4,5,†,1.5,,-12.0,,-5.3,,23.3,,0.0,,0.0,,1.6,,1.2,,7.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-06,2016,4,6,†,7.5,,-4.0,,1.8,,16.2,,0.0,,7.2,,1.2,,8.2,,3.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-07,2016,4,7,†,6.5,,0.5,,3.5,,14.5,,0.0,,0.0,,0.4,,0.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-08,2016,4,8,†,4.5,,-5.0,,-0.3,,18.3,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-09,2016,4,9,†,0.0,,-6.0,,-3.0,,21.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-10,2016,4,10,†,5.5,,-9.0,,-1.8,,19.8,,0.0,,4.2,,2.0,,7.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-11,2016,4,11,†,11.5,,-2.0,,4.8,,13.2,,0.0,,1.8,,0.0,,1.8,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-12,2016,4,12,†,6.5,,-1.5,,2.5,,15.5,,0.0,,0.0,,0.0,T,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-13,2016,4,13,†,7.5,,-5.0,,1.3,,16.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-14,2016,4,14,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-15,2016,4,15,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-16,2016,4,16,†,19.0,,3.0,,11.0,,7.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-17,2016,4,17,†,22.5,,2.5,,12.5,,5.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-18,2016,4,18,†,24.5,,4.0,,14.3,,3.7,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-19,2016,4,19,†,17.0,,6.0,,11.5,,6.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-20,2016,4,20,†,17.5,,0.5,,9.0,,9.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-21,2016,4,21,†,18.0,,4.0,,11.0,,7.0,,0.0,,3.2,,0.0,,3.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-22,2016,4,22,†,18.5,,11.0,,14.8,,3.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-23,2016,4,23,†,13.5,,2.0,,7.8,,10.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-24,2016,4,24,†,13.5,,0.0,,6.8,,11.2,,0.0,,0.4,,0.0,,0.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-25,2016,4,25,†,9.0,,4.5,,6.8,,11.2,,0.0,,15.2,,0.0,,15.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-26,2016,4,26,†,6.5,,1.5,,4.0,,14.0,,0.0,,0.2,,0.0,,0.2,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-27,2016,4,27,†,13.0,,-1.0,,6.0,,12.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-28,2016,4,28,†,8.5,,-1.5,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-29,2016,4,29,†,13.5,,4.0,,8.8,,9.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-04-30,2016,4,30,†,15.5,,0.5,,8.0,,10.0,,0.0,,3.6,,0.0,,3.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-01,2016,5,1,†,10.0,,6.5,,8.3,,9.7,,0.0,,4.0,,0.0,,4.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-02,2016,5,2,†,14.5,,5.5,,10.0,,8.0,,0.0,,0.4,,0.0,,0.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-03,2016,5,3,†,16.0,,2.5,,9.3,,8.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-04,2016,5,4,†,17.0,,1.5,,9.3,,8.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-05,2016,5,5,†,18.0,,7.0,,12.5,,5.5,,0.0,,0.6,,0.0,,0.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-06,2016,5,6,†,23.0,,5.5,,14.3,,3.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-07,2016,5,7,†,18.5,,5.5,,12.0,,6.0,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-08,2016,5,8,†,14.0,,3.5,,8.8,,9.2,,0.0,,4.8,,0.0,,4.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-09,2016,5,9,†,15.5,,1.0,,8.3,,9.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-05-10,2016,5,10,†,17.0,,3.0,,10.0,,8.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
